Feature,Outlier Percentage
p21002_i0,0.0
p4196_i0,0.0
p4194_i0,0.0
p23014_i0,0.0
p3144_i0,0.0
p3085_i0,0.0
p3084_i0,0.0
p3083_i0,0.0
p137_i0,0.0
p136_i0,0.0
p135_i0,0.0
p102_i0_a1,0.0
p96_i0_a1,0.0
p96_i0_a0,0.0
p95_i0_a1,0.0
p95_i0_a0,0.0
p94_i0_a0,0.0
p93_i0_a1,0.0
p93_i0_a0,0.0
p78_i0,0.0
p74_i0,0.0
p68_i0,0.0
p51_i0,0.0
p50_i0,0.0
p49_i0,0.0
p48_i0,0.0
p3143_i0,0.0
p3146_i0,0.0
p4146_i0,0.0
p3148_i0,0.0
p4145_i0,0.0
p4144_i0,0.0
p4143_i0,0.0
p4141_i0,0.0
p4140_i0,0.0
p4139_i0,0.0
p4138_i0,0.0
p4125_i0,0.0
p4124_i0,0.0
p4123_i0,0.0
p4122_i0,0.0
p4119_i0,0.0
p4106_i0,0.0
p4105_i0,0.0
p4104_i0,0.0
p4101_i0,0.0
p4100_i0,0.0
p4080_i0_a1,0.0
p4079_i0_a1,0.0
p4079_i0_a0,0.0
p3160_i0,0.0
p23013_i0,0.0
p23015_i0,0.0
p23460_i0,0.0
p23431_i0,0.0
p23429_i0,0.0
p23428_i0,0.0
p23426_i0,0.0
p23425_i0,0.0
p23424_i0,0.0
p23423_i0,0.0
p23421_i0,0.0
p23420_i0,0.0
p23419_i0,0.0
p23418_i0,0.0
p23416_i0,0.0
p23415_i0,0.0
p23414_i0,0.0
p23413_i0,0.0
p23411_i0,0.0
p23410_i0,0.0
p23409_i0,0.0
p23408_i0,0.0
p23406_i0,0.0
p23405_i0,0.0
p23404_i0,0.0
p23430_i0,0.0
p23433_i0,0.0
p23401_i0,0.0
p23434_i0,0.0
p23459_i0,0.0
p23458_i0,0.0
p23456_i0,0.0
p23455_i0,0.0
p23454_i0,0.0
p23453_i0,0.0
p23451_i0,0.0
p23450_i0,0.0
p23449_i0,0.0
p23448_i0,0.0
p23446_i0,0.0
p23445_i0,0.0
p23444_i0,0.0
p23443_i0,0.0
p23441_i0,0.0
p23440_i0,0.0
p23439_i0,0.0
p23438_i0,0.0
p46_i0,0.0
p23436_i0,0.0
p23435_i0,0.0
p23403_i0,0.0
p23400_i0,0.0
p23016_i0,0.0
p23099_i0,0.0
p23043_i0,0.0
p23041_i0,0.0
p23040_i0,0.0
p23039_i0,0.0
p23038_i0,0.0
p23036_i0,0.0
p23035_i0,0.0
p23034_i0,0.0
p23033_i0,0.0
