Threshold,Kappa
0.5275383676432476,0.0
0.5284779062172762,0.0
0.5284803095838242,0.045658682634730496
0.5284817206356444,0.08675799086757986
0.5284864975822439,0.10168195718654431
0.5284877000341114,0.15254237288135594
0.5284887441552155,0.1292569659442726
0.5284892625387735,0.12655279503105596
0.5284895588005021,0.07915360501567396
0.5284896731019767,0.13112164296998424
0.5284899810434134,0.08874801901743257
0.5284906012034696,0.12280701754385973
0.5284906567820435,0.1200000000000001
0.5284910792156197,0.11717495987158912
0.5284924769088425,0.10858995137763369
0.5284929324201789,0.12743506493506487
0.5284929878836955,0.12173202614379104
0.5284943278118448,0.055829228243021355
0.5284943809339688,0.011532125205930908
0.5285219230522137,0.049586776859504175
0.5285236748400048,0.05303030303030304
0.5285269460171496,0.027072758037224885
0.5285300274617473,0.04661016949152523
0.5285324349787152,0.06621392190152779
0.528535679741042,0.08276450511945405
