Threshold,Kappa
0.0,0.057327649566367996
0.02040816326530612,-0.003199999999999968
0.04081632653061224,0.015688553166763458
0.061224489795918366,0.034527781807631025
0.08163265306122448,0.07205903631891204
0.1020408163265306,0.07205903631891204
0.12244897959183673,0.1465380739887722
0.14285714285714285,0.1465380739887722
0.16326530612244897,0.1465380739887722
0.18367346938775508,0.1465380739887722
0.2040816326530612,0.1465380739887722
0.22448979591836732,0.18348887293610902
0.24489795918367346,0.18348887293610902
0.26530612244897955,0.18348887293610902
0.2857142857142857,0.18348887293610902
0.3061224489795918,0.20189274447949512
0.32653061224489793,0.20189274447949512
0.3469387755102041,0.20189274447949512
0.36734693877551017,0.20189274447949512
0.3877551020408163,0.20189274447949512
0.4081632653061224,0.20189274447949512
0.42857142857142855,0.20394736842105265
0.44897959183673464,0.22225396371946862
0.4693877551020408,0.210048254328697
0.4897959183673469,0.40016524373450835
0.5102040816326531,0.4016483516483517
0.5306122448979591,0.3204065258090399
0.5510204081632653,0.3373848003205557
0.5714285714285714,0.3373848003205557
0.5918367346938775,0.2307284768211921
0.6122448979591836,0.24765180579441717
0.6326530612244897,0.25998698763825623
0.6530612244897959,0.26171621446189786
0.673469387755102,0.26171621446189786
0.6938775510204082,0.26171621446189786
0.7142857142857142,0.26171621446189786
0.7346938775510203,0.26171621446189786
0.7551020408163265,0.26171621446189786
0.7755102040816326,0.2320942883046237
0.7959183673469387,0.2320942883046237
0.8163265306122448,0.2320942883046237
0.836734693877551,0.2320942883046237
0.8571428571428571,0.2320942883046237
0.8775510204081632,0.17326285935284264
0.8979591836734693,0.15864022662889518
0.9183673469387754,0.15864022662889518
0.9387755102040816,0.07161125319693089
0.9591836734693877,0.057223144718354914
0.9795918367346939,0.057223144718354914
1.0,0.04286807859147753
